model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_A,layer3-5,EEG2,sub-06,occipital_parietal,0.28512405,52.09880383,0.07585613,-982375.6163522,0.4000367,0.34090233,,
MODEL_A,layer3-5,EEG2,sub-07,occipital_parietal,0.22014662,104.93753559,0.0545434,-277760.37863823,0.35021503,0.42345634,,
MODEL_A,layer3-5,EEG2,sub-08,occipital_parietal,0.22342402,8.20535133,-0.00198015,-1439511.13402533,0.28533109,0.27077914,,
MODEL_A,layer3-5,EEG2,sub-09,occipital_parietal,0.15852473,70.83393965,0.02834291,-230457.31815774,0.1239626,0.10245902,,
MODEL_A,layer3-5,EEG2,sub-10,occipital_parietal,0.26724139,47.35654221,0.07633327,-262742.51026189,0.31568893,0.27880035,,
MODEL_A,layer3-10,EEG2,sub-01,occipital_parietal,0.1591654,-8.06475284,0.03232976,-1089663.2796598,0.05358851,0.01146844,,
MODEL_A,layer3-10,EEG2,sub-02,occipital_parietal,0.11490867,10.16732658,0.00785322,-283986.23075127,0.14244723,0.08008752,,
MODEL_A,layer3-10,EEG2,sub-03,occipital_parietal,0.22575444,5.21062042,0.05397019,-394013.67788313,0.27810046,0.24412197,,
MODEL_A,layer3-10,EEG2,sub-04,occipital_parietal,0.16449605,-20.35361749,0.02301664,-574993.24434176,-0.01386808,0.02219643,,
MODEL_A,layer3-10,EEG2,sub-05,occipital_parietal,0.22836485,-2.41327793,0.01388635,-5307286.05890386,0.41492685,0.38303492,,
MODEL_A,layer3-10,EEG2,sub-06,occipital_parietal,0.26221345,47.01023921,0.07696786,-132791.64145409,0.33596604,0.28627803,,
MODEL_A,layer3-10,EEG2,sub-07,occipital_parietal,0.22312116,122.28381066,0.06038818,-112797.90117527,0.36704247,0.39609341,,
MODEL_A,layer3-10,EEG2,sub-08,occipital_parietal,0.21211063,13.8769358,0.04361783,-334907.67640166,0.19941921,0.21144033,,
MODEL_A,layer3-10,EEG2,sub-09,occipital_parietal,0.15143703,42.65157088,0.0252201,-393830.73226092,0.16271374,0.10037418,,
MODEL_A,layer3-10,EEG2,sub-10,occipital_parietal,0.28500129,52.87320826,0.0810056,-271026.45941505,0.33895057,0.27180268,,
MODEL_A,layer3-15,EEG2,sub-01,occipital_parietal,0.17738376,23.89694362,0.04702279,-644625.97929182,0.05614797,0.01830652,,
MODEL_A,layer3-15,EEG2,sub-02,occipital_parietal,0.13537638,8.15714246,0.01944818,-277586.2607713,0.18600745,0.09329552,,
MODEL_A,layer3-15,EEG2,sub-03,occipital_parietal,0.20961879,-10.03805763,0.05208573,-456717.60244679,0.26601917,0.21544807,,
MODEL_A,layer3-15,EEG2,sub-04,occipital_parietal,0.19283922,-16.9696005,0.04087682,-518461.11403161,0.02470319,0.03547655,,
MODEL_A,layer3-15,EEG2,sub-05,occipital_parietal,0.22328182,74.11425618,0.05255216,-1055062.96379428,0.32911368,0.34429242,,
MODEL_A,layer3-15,EEG2,sub-06,occipital_parietal,0.27299108,48.00697631,0.08193854,-125964.32145758,0.31893491,0.33158508,,
MODEL_A,layer3-15,EEG2,sub-07,occipital_parietal,0.24850581,110.31329924,0.07178802,-259440.10539041,0.36516404,0.43878807,,
MODEL_A,layer3-15,EEG2,sub-08,occipital_parietal,0.21658731,53.58702621,0.05035509,-307053.97539709,0.23932496,0.24282734,,
MODEL_A,layer3-15,EEG2,sub-09,occipital_parietal,0.20955697,108.91080609,0.0541223,-27228.14232356,0.17963238,0.14590751,,
MODEL_A,layer3-15,EEG2,sub-10,occipital_parietal,0.26848171,-14.07352919,0.08198412,-542850.66622432,0.36837648,0.3103676,,
MODEL_A,layer3-20,EEG2,sub-01,occipital_parietal,0.16813933,-8.05191838,0.04030328,-908004.47983823,0.05984631,0.01310977,,
